url,title,author,date,urldate
https://developers.openai.com/api/docs/guides/compaction,Compaction,OpenAI,,2026-03-04
https://developers.openai.com/codex/agent-approvals-security,Codex: Agent approvals & security,OpenAI,,2026-03-16
https://developers.openai.com/codex/app/worktrees/#working-between-local-and-worktree,Worktrees,,,2026-03-10
https://developers.openai.com/codex/cli/features#run-local-code-review,Codex CLI features (run local code review),,,2026-03-05
https://developers.openai.com/codex/integrations/github/,Use Codex in GitHub,,,2026-03-05
https://developers.openai.com/codex/multi-agent/,Codex Multi-agents,OpenAI,,2026-03-13
https://docs.conductor.build/guides/spotlight-testing,Using spotlight testing - Conductor,,,2026-03-10
https://docs.github.com/en/copilot/how-tos/use-copilot-agents/request-a-code-review,GitHub Copilot code review,,,2026-03-05
https://embracethered.com/blog/posts/2026/scary-agent-skills/,Hidden Unicode Instructions in Skills,Johann Rehberger,2026-02-11,2026-03-18
https://factory.ai/pricing,Factory Subscription,,,2026-03-04
https://github.com/anthropics/skills,anthropics/skills,Anthropic,,2026-03-12
https://github.com/badlogic/pi-mono/blob/380236a003ec7f0e69f54463b0f00b3118d78f3c/packages/coding-agent/src/core/compaction/compaction.ts#L444-L475,Pi Compaction Prompt,Mario Zechner,,2026-03-04
https://github.com/callstackincubator/agent-device,callstackincubator/agent-device: CLI to control iOS and Android devices for AI agents,Callstack,,2026-03-04
https://github.com/Expensify/App,Expensify/App,GitHub,,2026-03-04
https://github.com/github/github-mcp-server,GitHub - github/github-mcp-server: GitHub&#39;s official MCP Server · GitHub,,,2026-03-13
https://github.com/mattpocock/skills/blob/main/grill-me/SKILL.md,grill-me skill,Matt Pocock,2026-02-25,2026-03-06
https://github.com/mcp,GitHub MCP Registry,,,2026-03-13
https://github.com/microsoft/playwright-mcp,microsoft/playwright-mcp,Microsoft,,2026-03-13
https://github.com/mkaput,Marek Kaput,,,2026-03-04
https://github.com/openai/skills,openai/skills,OpenAI,,2026-03-12
https://github.com/software-mansion-labs/skills,software-mansion-labs/skills,Software Mansion,,2026-03-12
https://github.com/steipete/mcporter/,"steipete/mcporter: Call MCPs via TypeScript, masquerading as simple TypeScript API. Or package them as cli.",Peter Steinberger,,2026-03-04
https://github.com/topics/agent-skills,GitHub Topic: agent-skills,,,2026-03-12
https://help.expensify.com/articles/new-expensify/chat/Assign-Tasks,Expensify HelpAssign a Task via Chat | Expensify Help,,,2026-03-17
https://help.figma.com/hc/en-us/articles/32132100833559-Guide-to-the-Figma-MCP-server,Guide to the Figma MCP server,,2025-05-15,2026-03-04
https://help.figma.com/hc/en-us/articles/35281350665623-Figma-MCP-collection-How-to-set-up-the-Figma-remote-MCP-server,How to set up the Figma remote MCP server,,2025-09-29,2026-03-04
https://invariantlabs.ai/blog/mcp-github-vulnerability,GitHub MCP Exploited: Accessing private repositories via MCP,Marco Milanta and Luca Beurer-Kellner,2025-05-26,2026-03-16
https://just.systems/man/en/,Just Manual,Casey Rodarmor,,2026-03-04
https://lexler.github.io/augmented-coding-patterns/patterns/knowledge-checkpoint/,Knowledge Checkpoint - Augmented Coding Patterns,Lada Kesseler,2025-10-01,2026-03-11
https://lexler.github.io/augmented-coding-patterns/patterns/knowledge-document/,Knowledge Document - Augmented Coding Patterns,Lada Kesseler,2025-10-20,2026-03-11
https://lexler.github.io/augmented-coding-patterns/patterns/parallel-implementations/,Parallel Implementations - Augmented Coding Patterns,Lada Kesseler,2025-10-01,2026-03-11
https://lexler.github.io/augmented-coding-patterns/talk/,Augmented Coding Patterns,Lada Kesseler et al,2026-03-11,2026-03-11
https://linear.app/docs/mcp,Linear MCP server,Linear,,2026-03-13
https://lucumr.pocoo.org/,Thoughts and Writings,Armin Ronacher,,2026-03-04
https://mcp.grep.app/,mcp.grep.app,Vercel,,2026-03-04
https://mitchellh.com/,Blog,Mitchell Hashimoto,,2026-03-04
https://models.dev/,Models.dev - An open-source database of AI models,Opencode,,2026-03-04
https://openai.com/chatgpt/pricing/,ChatGPT Subscription,,,2026-03-04
https://openai.com/index/harness-engineering/,Harness engineering: leveraging Codex in an agent-first world,OpenAI,2026-02-11,2026-03-04
https://openai.com/news/engineering/,OpenAI Engineering News,,,2026-03-04
https://opencode.ai/docs/go/,Opencode Go,,,2026-03-04
https://platform.claude.com/docs/en/build-with-claude/compaction,Compaction,Anthropic,,2026-03-04
https://platform.claude.com/docs/en/resources/prompt-library/socratic-sage,Prompting best practices,Anthropic,,2026-03-04
https://platform.openai.com/docs/guides/prompt-caching,Prompt caching,OpenAI,,2026-03-04
https://radon.swmansion.com/docs/features/radon-ai,Radon AI,,,2026-03-04
https://registerspill.thorstenball.com/,Register Spill,Thorsten Ball,,2026-03-04
https://simonwillison.net/,Weblog,Simon Willison,,2026-03-04
https://simonwillison.net/2025/Jun/16/the-lethal-trifecta/,"The lethal trifecta for AI agents: private data, untrusted content, and external communication",Simon Willison,2025-06-16,2026-03-16
https://simonwillison.net/2026/Feb/10/showboat-and-rodney/,"Introducing Showboat and Rodney, so agents can demo what they’ve built",Simon Willison,2026-02-10,2026-03-24
https://simonwillison.net/guides/agentic-engineering-patterns/anti-patterns/,Anti-patterns: things to avoid,Simon Willison,2026-03-04,2026-03-05
https://simonwillison.net/guides/agentic-engineering-patterns/linear-walkthroughs/,Linear walkthroughs,Simon Willison,2026-02-25,2026-03-04
https://simonwillison.net/guides/agentic-engineering-patterns/red-green-tdd/,Red/green TDD,Simon Willison,2026-02-23,2026-03-04
https://skills.sh/,The Agent Skills Directory,Vercel,,2026-03-04
https://skills.sh/callstackincubator/agent-skills/react-native-best-practices,react-native-best-practices skill,Callstack,,2026-03-04
https://skills.sh/expo/skills,expo/skills,Expo,,2026-03-04
https://skills.sh/mitsuhiko/agent-stuff/tmux,tmux skill,Armin Ronacher,2026-01-23,2026-03-04
https://skills.sh/vercel-labs/agent-browser/agent-browser,agent-browser,Vercel,2026-01-16,2026-03-04
https://skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,vercel-react-best-practices skill,Vercel,2026-01-16,2026-03-04
https://support.apple.com/guide/mac-help/mh40584/mac,Dictate messages and documents on Mac - Apple Support,,,2026-03-10
https://support.microsoft.com/en-us/windows/use-voice-typing-to-talk-instead-of-type-on-your-pc-fec94565-c4bd-329d-e59a-af033fa5689f,Use voice typing to talk instead of type on your PC - Microsoft Support,,,2026-03-10
https://swmansion.com/,Software Mansion,,,2026-03-04
https://tidewave.ai/,Tidewave,,,2026-03-04
https://tiktokenizer.vercel.app/,Tiktokenizer,,,2026-03-31
https://warden.sentry.dev/,Warden,,,2026-03-05
https://www.catonetworks.com/blog/cato-ctrl-weaponizing-claude-skills-with-medusalocker/,Weaponizing Claude Skills with MedusaLocker,Inga Cherny,2025-12-02,2026-03-18
https://www.figma.com/blog/introducing-claude-code-to-figma/,From Claude Code to Figma: Turning Production Code into Editable Figma Designs,Figma,2026-02-17,2026-03-04
https://www.figma.com/pl-pl/make/,Figma Make,,,2026-03-04
https://www.llm-prices.com/,LLM pricing calculator,llm-prices.com,,2026-03-04
https://www.xcodebuildmcp.com/,XcodeBuildMCP,Sentry,,2026-03-04
https://x.com/bcherny,Boris Cherny (@bcherny) on X,,,2026-03-04
https://x.com/embirico,Alexander Embiricos (@embirico) on X,,,2026-03-04
https://x.com/GeminiApp,Google Gemini (@GeminiApp) on X,,,2026-03-04
https://x.com/karpathy,Andrej Karpathy (@karpathy) on X,,,2026-03-04
https://x.com/opencode,OpenCode (@opencode) on X,,,2026-03-04
https://x.com/RLanceMartin,Lance Martin (@RLanceMartin) on X,,,2026-03-04
https://x.com/thorstenball,Thorsten Ball (@thorstenball) on X,,,2026-03-04
https://x.com/thsottiaux,Tibo (@thsottiaux) on X,,,2026-03-04
https://x.com/trq212,Thariq Shihipar (@trq212) on X,,,2026-03-04
https://x.com/trq212/status/2024574133011673516,Lessons from Building Claude Code: Prompt Caching Is Everything,Thariq Shihipar,2026-02-19,2026-03-04
